Vehicle type,Fuel type,Vehicle age,State
STATION,BI-GNV,2,APPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
PRIVATE,GASOLINA,35,APPROVED
INDEPENDENT,BI-GNV,7,APPROVED
INDEPENDENT,BI-GNV,15,DISAPPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
STATION,BI-GNV,3,DISAPPROVED
STATION,BI-GNV,18,DISAPPROVED
STATION,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,15,APPROVED
STATION,BI-GNV,4,DISAPPROVED
STATION,BI-GNV,2,APPROVED
STATION,BI-GNV,19,APPROVED
STATION,BI-GNV,8,DISAPPROVED
STATION,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,16,APPROVED
STATION,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,24,APPROVED
INDEPENDENT,BI-GNV,14,DISAPPROVED
STATION,BI-GNV,13,DISAPPROVED
STATION,BI-GNV,11,DISAPPROVED
STATION,GNV,8,DISAPPROVED
STATION,GASOLINA,8,DISAPPROVED
STATION,BI-GNV,4,DISAPPROVED
STATION,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,14,DISAPPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
PRIVATE,GASOLINA,1,APPROVED
STATION,BI-GNV,5,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,18,DISAPPROVED
STATION,BI-GNV,3,DISAPPROVED
REMISSION,BI-GNV,2,DISAPPROVED
STATION,GASOLINA,1,APPROVED
STATION,GNV,11,DISAPPROVED
STATION,BI-GNV,20,DISAPPROVED
STATION,BI-GNV,6,APPROVED
STATION,BI-GNV,21,DISAPPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
STATION,GASOLINA,1,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
STATION,BI-GNV,3,DISAPPROVED
STATION,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,GASOLINA,2,APPROVED
PRIVATE,GNV,7,APPROVED
INDEPENDENT,GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,23,APPROVED
INDEPENDENT,GNV,21,DISAPPROVED
INDEPENDENT,BI-GNV,3,DISAPPROVED
STATION,BI-GNV,4,APPROVED
PRIVATE,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,2,APPROVED
PRIVATE,BI-GNV,1,APPROVED
STATION,BI-GNV,5,APPROVED
STATION,BI-GNV,2,APPROVED
STATION,GASOLINA,11,APPROVED
INDEPENDENT,BI-GNV,5,APPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,GASOLINA,21,DISAPPROVED
STATION,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,5,APPROVED
STATION,GASOLINA,3,DISAPPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
STATION,GASOLINA,2,APPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
INDEPENDENT,BI-GNV,21,DISAPPROVED
INDEPENDENT,BI-GNV,7,APPROVED
PRIVATE,GASOLINA,6,APPROVED
INDEPENDENT,GASOLINA,4,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,23,DISAPPROVED
INDEPENDENT,BI-GNV,15,APPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,18,DISAPPROVED
STATION,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,14,APPROVED
INDEPENDENT,BI-GNV,7,APPROVED
STATION,BI-GNV,2,APPROVED
STATION,BI-GNV,5,APPROVED
STATION,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
STATION,BI-GNV,1,APPROVED
STATION,BI-GNV,6,APPROVED
STATION,BI-GNV,2,DISAPPROVED
STATION,BI-GNV,3,APPROVED
INDEPENDENT,GASOLINA,1,APPROVED
REMISSION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,23,DISAPPROVED
INDEPENDENT,BI-GNV,10,APPROVED
STATION,BI-GNV,1,DISAPPROVED
INDEPENDENT,BI-GNV,14,APPROVED
STATION,BI-GNV,1,DISAPPROVED
INDEPENDENT,BI-GNV,22,APPROVED
STATION,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,23,DISAPPROVED
PRIVATE,GASOLINA,4,APPROVED
INDEPENDENT,BI-GNV,18,APPROVED
STATION,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,19,APPROVED
INDEPENDENT,BI-GNV,18,DISAPPROVED
REMISSION,BI-GNV,14,APPROVED
INDEPENDENT,BI-GNV,12,DISAPPROVED
INDEPENDENT,BI-GNV,15,DISAPPROVED
INDEPENDENT,BI-GNV,18,DISAPPROVED
INDEPENDENT,BI-GNV,21,DISAPPROVED
INDEPENDENT,BI-GNV,20,APPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
INDEPENDENT,BI-GNV,15,DISAPPROVED
STATION,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,7,APPROVED
STATION,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,21,APPROVED
STATION,GASOLINA,2,DISAPPROVED
INDEPENDENT,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
STATION,BI-GNV,3,DISAPPROVED
PRIVATE,BI-GNV,28,DISAPPROVED
INDEPENDENT,BI-GNV,16,DISAPPROVED
STATION,BI-GLP,13,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,3,DISAPPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,2,APPROVED
REMISSION,GASOLINA,2,DISAPPROVED
INDEPENDENT,GASOLINA,4,DISAPPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,20,DISAPPROVED
INDEPENDENT,BI-GNV,19,APPROVED
REMISSION,BI-GNV,10,DISAPPROVED
STATION,GASOLINA,2,DISAPPROVED
INDEPENDENT,BI-GNV,7,APPROVED
PRIVATE,GASOLINA,4,DISAPPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
PRIVATE,GASOLINA,34,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,15,APPROVED
INDEPENDENT,BI-GNV,14,APPROVED
REMISSION,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,GASOLINA,19,DISAPPROVED
STATION,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,15,APPROVED
INDEPENDENT,BI-GNV,15,APPROVED
INDEPENDENT,GNV,17,DISAPPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,2,APPROVED
STATION,BI-GLP,8,APPROVED
INDEPENDENT,GNV,15,APPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
REMISSION,BI-GNV,7,DISAPPROVED
STATION,BI-GLP,4,APPROVED
STATION,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GLP,5,APPROVED
STATION,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,11,APPROVED
STATION,BI-GLP,13,APPROVED
INDEPENDENT,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,13,APPROVED
INDEPENDENT,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,1,APPROVED
STATION,GASOLINA,5,DISAPPROVED
INDEPENDENT,BI-GNV,21,DISAPPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,3,DISAPPROVED
STATION,GASOLINA,1,DISAPPROVED
STATION,BI-GNV,5,DISAPPROVED
STATION,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,24,DISAPPROVED
STATION,BI-GNV,2,DISAPPROVED
PRIVATE,BI-GNV,1,APPROVED
STATION,BI-GNV,3,APPROVED
STATION,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
STATION,BI-GNV,3,DISAPPROVED
INDEPENDENT,BI-GNV,19,APPROVED
STATION,BI-GNV,2,APPROVED
PRIVATE,GASOLINA,20,DISAPPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
STATION,BI-GLP,13,DISAPPROVED
REMISSION,BI-GNV,6,APPROVED
INDEPENDENT,BI-GLP,19,DISAPPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
STATION,BI-GLP,7,APPROVED
STATION,BI-GNV,4,DISAPPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GLP,10,DISAPPROVED
STATION,BI-GNV,8,DISAPPROVED
PRIVATE,GASOLINA,8,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
STATION,BI-GLP,3,APPROVED
PRIVATE,BI-GLP,3,APPROVED
STATION,GASOLINA,2,DISAPPROVED
STATION,BI-GLP,10,DISAPPROVED
PRIVATE,BI-GNV,7,DISAPPROVED
STATION,BI-GLP,13,DISAPPROVED
INDEPENDENT,BI-GNV,21,DISAPPROVED
PRIVATE,BI-GLP,1,APPROVED
PRIVATE,GASOLINA,14,DISAPPROVED
STATION,BI-GNV,4,APPROVED
PRIVATE,GASOLINA,4,DISAPPROVED
STATION,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
PRIVATE,GASOLINA,3,APPROVED
STATION,GNV,3,APPROVED
INDEPENDENT,GASOLINA,11,DISAPPROVED
INDEPENDENT,BI-GNV,14,APPROVED
INDEPENDENT,GASOLINA,2,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,18,APPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,20,APPROVED
STATION,BI-GNV,1,APPROVED
INDEPENDENT,GASOLINA,2,APPROVED
INDEPENDENT,BI-GNV,7,APPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,GNV,1,DISAPPROVED
REMISSION,GASOLINA,6,DISAPPROVED
STATION,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
INDEPENDENT,GASOLINA,1,APPROVED
REMISSION,GASOLINA,2,APPROVED
REMISSION,BI-GLP,8,DISAPPROVED
INDEPENDENT,GASOLINA,2,APPROVED
PRIVATE,GASOLINA,16,DISAPPROVED
STATION,BI-GNV,4,APPROVED
INDEPENDENT,BI-GLP,16,DISAPPROVED
PRIVATE,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
PRIVATE,BI-GNV,17,DISAPPROVED
STATION,BI-GNV,0,APPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
PRIVATE,BI-GLP,19,APPROVED
PRIVATE,GASOLINA,24,DISAPPROVED
INDEPENDENT,BI-GNV,15,DISAPPROVED
INDEPENDENT,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,2,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
STATION,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,11,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,8,APPROVED
INDEPENDENT,BI-GNV,17,DISAPPROVED
PRIVATE,GASOLINA,25,DISAPPROVED
PRIVATE,BI-GLP,15,DISAPPROVED
INDEPENDENT,GASOLINA,8,DISAPPROVED
INDEPENDENT,BI-GNV,15,APPROVED
INDEPENDENT,BI-GNV,19,APPROVED
INDEPENDENT,BI-GNV,18,DISAPPROVED
INDEPENDENT,BI-GNV,12,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
STATION,GASOLINA,1,DISAPPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,15,APPROVED
STATION,GASOLINA,9,DISAPPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,10,APPROVED
REMISSION,BI-GLP,17,DISAPPROVED
PRIVATE,GASOLINA,3,APPROVED
STATION,GASOLINA,1,APPROVED
INDEPENDENT,GASOLINA,21,DISAPPROVED
INDEPENDENT,BI-GLP,21,DISAPPROVED
PRIVATE,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,20,DISAPPROVED
STATION,GASOLINA,6,DISAPPROVED
STATION,BI-GNV,4,DISAPPROVED
STATION,BI-GLP,11,APPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,7,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GLP,13,DISAPPROVED
STATION,BI-GNV,2,DISAPPROVED
STATION,BI-GNV,4,APPROVED
STATION,BI-GNV,15,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
STATION,BI-GNV,8,DISAPPROVED
INDEPENDENT,GASOLINA,4,DISAPPROVED
STATION,BI-GNV,6,APPROVED
PRIVATE,BI-GLP,4,APPROVED
REMISSION,BI-GNV,4,APPROVED
STATION,BI-GNV,13,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
PRIVATE,GASOLINA,19,DISAPPROVED
PRIVATE,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
INDEPENDENT,GASOLINA,8,DISAPPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,19,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
STATION,BI-GNV,8,DISAPPROVED
STATION,BI-GNV,2,APPROVED
STATION,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,3,APPROVED
PRIVATE,GASOLINA,3,APPROVED
STATION,BI-GNV,4,APPROVED
STATION,GASOLINA,1,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
PRIVATE,GASOLINA,4,DISAPPROVED
PRIVATE,GASOLINA,3,APPROVED
INDEPENDENT,BI-GNV,15,APPROVED
INDEPENDENT,BI-GNV,17,APPROVED
STATION,BI-GNV,10,DISAPPROVED
STATION,BI-GNV,8,APPROVED
INDEPENDENT,BI-GNV,1,APPROVED
INDEPENDENT,GASOLINA,2,APPROVED
PRIVATE,BI-GNV,1,APPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,GASOLINA,12,DISAPPROVED
INDEPENDENT,GNV,12,APPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
STATION,GNV,1,APPROVED
INDEPENDENT,GNV,15,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,18,APPROVED
STATION,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,15,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
STATION,BI-GNV,2,APPROVED
PRIVATE,BI-GLP,3,APPROVED
PRIVATE,BI-GNV,6,APPROVED
INDEPENDENT,GASOLINA,3,APPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
INDEPENDENT,BI-GNV,16,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,5,APPROVED
STATION,BI-GLP,13,DISAPPROVED
STATION,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
STATION,BI-GNV,7,APPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
INDEPENDENT,BI-GNV,22,APPROVED
INDEPENDENT,BI-GNV,13,APPROVED
STATION,BI-GLP,5,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
PRIVATE,BI-GNV,3,APPROVED
INDEPENDENT,GNV,3,DISAPPROVED
INDEPENDENT,GASOLINA,3,APPROVED
INDEPENDENT,BI-GLP,2,DISAPPROVED
INDEPENDENT,GASOLINA,2,APPROVED
STATION,GNV,4,APPROVED
INDEPENDENT,GNV,16,APPROVED
INDEPENDENT,GNV,1,DISAPPROVED
INDEPENDENT,GNV,1,APPROVED
INDEPENDENT,GNV,21,APPROVED
INDEPENDENT,GASOLINA,6,APPROVED
INDEPENDENT,BI-GLP,6,DISAPPROVED
INDEPENDENT,GNV,8,DISAPPROVED
INDEPENDENT,GNV,7,APPROVED
INDEPENDENT,GNV,7,APPROVED
STATION,BI-GNV,2,APPROVED
STATION,BI-GNV,2,APPROVED
STATION,BI-GLP,9,DISAPPROVED
PRIVATE,GNV,3,APPROVED
INDEPENDENT,GASOLINA,13,DISAPPROVED
INDEPENDENT,GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GLP,19,DISAPPROVED
PRIVATE,GASOLINA,3,APPROVED
STATION,BI-GNV,6,APPROVED
INDEPENDENT,BI-GLP,10,APPROVED
INDEPENDENT,GASOLINA,19,DISAPPROVED
INDEPENDENT,BI-GNV,5,APPROVED
STATION,BI-GNV,3,APPROVED
PRIVATE,GASOLINA,14,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
STATION,BI-GNV,1,APPROVED
INDEPENDENT,GNV,10,DISAPPROVED
INDEPENDENT,GASOLINA,10,DISAPPROVED
STATION,BI-GNV,5,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,GNV,20,APPROVED
INDEPENDENT,GASOLINA,20,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
STATION,BI-GLP,14,DISAPPROVED
INDEPENDENT,BI-GNV,21,DISAPPROVED
INDEPENDENT,BI-GLP,8,DISAPPROVED
INDEPENDENT,GASOLINA,6,DISAPPROVED
INDEPENDENT,GNV,6,DISAPPROVED
PRIVATE,GASOLINA,4,APPROVED
STATION,BI-GLP,9,DISAPPROVED
STATION,GASOLINA,9,DISAPPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GLP,4,APPROVED
INDEPENDENT,GASOLINA,4,APPROVED
INDEPENDENT,BI-GNV,16,DISAPPROVED
STATION,BI-GNV,1,APPROVED
INDEPENDENT,GNV,19,APPROVED
INDEPENDENT,GASOLINA,19,DISAPPROVED
INDEPENDENT,GNV,5,APPROVED
INDEPENDENT,GASOLINA,5,APPROVED
STATION,GNV,4,APPROVED
STATION,GASOLINA,4,DISAPPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,21,DISAPPROVED
INDEPENDENT,BI-GNV,20,DISAPPROVED
PRIVATE,BI-GNV,24,DISAPPROVED
INDEPENDENT,GASOLINA,2,APPROVED
INDEPENDENT,GNV,2,APPROVED
INDEPENDENT,BI-GLP,6,APPROVED
INDEPENDENT,GASOLINA,6,APPROVED
STATION,BI-GNV,1,DISAPPROVED
INDEPENDENT,BI-GLP,4,APPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,1,APPROVED
STATION,BI-GNV,1,APPROVED
REMISSION,GNV,4,DISAPPROVED
REMISSION,GASOLINA,4,DISAPPROVED
INDEPENDENT,BI-GLP,5,APPROVED
INDEPENDENT,GASOLINA,5,DISAPPROVED
INDEPENDENT,BI-GLP,8,APPROVED
INDEPENDENT,GASOLINA,4,APPROVED
INDEPENDENT,BI-GLP,4,APPROVED
PRIVATE,GNV,4,DISAPPROVED
PRIVATE,GASOLINA,4,DISAPPROVED
STATION,BI-GNV,4,DISAPPROVED
REMISSION,BI-GNV,17,APPROVED
PRIVATE,GASOLINA,5,APPROVED
REMISSION,GNV,7,APPROVED
REMISSION,GASOLINA,7,APPROVED
INDEPENDENT,GNV,4,APPROVED
INDEPENDENT,GASOLINA,4,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,GNV,11,DISAPPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,GNV,2,APPROVED
PRIVATE,GNV,1,APPROVED
PRIVATE,GASOLINA,1,APPROVED
REMISSION,GNV,4,APPROVED
REMISSION,GNV,4,APPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
STATION,BI-GLP,5,APPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,1,APPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
STATION,GASOLINA,2,DISAPPROVED
INDEPENDENT,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
STATION,BI-GNV,4,APPROVED
INDEPENDENT,GNV,11,DISAPPROVED
STATION,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,8,APPROVED
STATION,BI-GNV,6,APPROVED
STATION,BI-GNV,4,DISAPPROVED
INDEPENDENT,GASOLINA,10,APPROVED
INDEPENDENT,BI-GNV,9,APPROVED
STATION,GNV,3,APPROVED
STATION,GASOLINA,3,APPROVED
INDEPENDENT,BI-GNV,14,APPROVED
INDEPENDENT,BI-GLP,15,DISAPPROVED
INDEPENDENT,GNV,4,DISAPPROVED
INDEPENDENT,GASOLINA,4,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,2,APPROVED
STATION,BI-GNV,8,APPROVED
INDEPENDENT,BI-GNV,20,DISAPPROVED
INDEPENDENT,GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,14,APPROVED
INDEPENDENT,BI-GLP,6,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,GNV,14,DISAPPROVED
INDEPENDENT,GASOLINA,14,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,GNV,19,APPROVED
INDEPENDENT,GASOLINA,19,DISAPPROVED
STATION,BI-GNV,4,DISAPPROVED
STATION,GASOLINA,4,APPROVED
STATION,GNV,15,DISAPPROVED
STATION,GASOLINA,15,APPROVED
INDEPENDENT,GNV,3,DISAPPROVED
INDEPENDENT,GASOLINA,3,APPROVED
STATION,GNV,8,DISAPPROVED
STATION,GASOLINA,8,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,GASOLINA,15,APPROVED
INDEPENDENT,GASOLINA,15,DISAPPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GLP,1,APPROVED
REMISSION,BI-GLP,2,DISAPPROVED
REMISSION,GASOLINA,1,APPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
STATION,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,19,APPROVED
INDEPENDENT,GASOLINA,3,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
STATION,BI-GNV,4,APPROVED
INDEPENDENT,BI-GLP,15,DISAPPROVED
STATION,BI-GNV,3,APPROVED
INDEPENDENT,GNV,15,APPROVED
INDEPENDENT,BI-GNV,5,APPROVED
INDEPENDENT,BI-GNV,15,DISAPPROVED
STATION,BI-GNV,5,APPROVED
INDEPENDENT,BI-GNV,4,APPROVED
STATION,BI-GLP,7,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
STATION,GNV,7,DISAPPROVED
STATION,GASOLINA,7,DISAPPROVED
STATION,GNV,6,APPROVED
STATION,GASOLINA,6,APPROVED
REMISSION,BI-GNV,4,DISAPPROVED
STATION,BI-GNV,5,APPROVED
INDEPENDENT,GNV,16,APPROVED
INDEPENDENT,GASOLINA,15,DISAPPROVED
STATION,BI-GNV,10,DISAPPROVED
INDEPENDENT,GASOLINA,1,DISAPPROVED
INDEPENDENT,BI-GNV,19,APPROVED
PRIVATE,GASOLINA,10,APPROVED
PRIVATE,BI-GNV,19,APPROVED
PRIVATE,GASOLINA,9,APPROVED
